              0              0       0.128205             78             10
              1              0       0.269231             78             21
              2              0       0.269231             78             21
              3              0        0.24359             78             19
            min              0       0.128205             78             10
            max              0       0.269231             78             21
           mean              0       0.227564             78             17
              0              5      0.0746269            134             10
              1              5       0.126866            134             17
              2              5       0.126866            134             17
              3              5       0.119403            134             16
            min              5      0.0746269            134             10
            max              5       0.126866            134             17
           mean              5        0.11194            134             15
              0             10       0.019305            518             10
              1             10      0.0598456            518             31
              2             10       0.042471            518             22
              3             10      0.0482625            518             25
            min             10       0.019305            518             10
            max             10      0.0598456            518             31
           mean             10       0.042471            518             22
              0             15     0.00990099           1010             10
              1             15      0.0168317           1010             17
              2             15      0.0118812           1010             12
              3             15      0.0168317           1010             17
            min             15     0.00990099           1010             10
            max             15      0.0168317           1010             17
           mean             15      0.0138614           1010             14
              0             20     0.00340368           2938             10
              1             20     0.00340368           2938             10
              2             20     0.00374404           2938             11
              3             20     0.00510551           2938             15
            min             20     0.00340368           2938             10
            max             20     0.00510551           2938             15
           mean             20     0.00391423           2938             11
              0             25    0.000683714          14626             10
              1             25     0.00129906          14626             19
              2             25    0.000683714          14626             10
              3             25    0.000888828          14626             13
            min             25    0.000683714          14626             10
            max             25     0.00129906          14626             19
           mean             25    0.000888828          14626             13
